DATA,CONFIRMADO,OBITO
13/03/2020,3,0
14/03/2020,3,0
15/03/2020,4,0
16/03/2020,4,0
17/03/2020,5,0
18/03/2020,17,0
19/03/2020,18,0
20/03/2020,18,0
21/03/2020,23,0
22/03/2020,33,0
23/03/2020,37,0
24/03/2020,45,0
25/03/2020,54,0
26/03/2020,60,0
27/03/2020,78,0
28/03/2020,81,0
29/03/2020,103,1
30/03/2020,117,2
31/03/2020,132,2
01/04/2020,153,2
02/04/2020,167,3
03/04/2020,183,5
04/04/2020,215,5
05/04/2020,244,7
06/04/2020,263,8
07/04/2020,269,10
08/04/2020,292,11
09/04/2020,314,11
10/04/2020,343,11
11/04/2020,355,11
12/04/2020,364,11
13/04/2020,390,11
14/04/2020,428,13
15/04/2020,522,15
16/04/2020,572,18
17/04/2020,643,18
18/04/2020,760,19
19/04/2020,764,22
20/04/2020,824,23
21/04/2020,927,23
22/04/2020,1039,27
23/04/2020,1137,34
24/04/2020,1223,37
25/04/2020,1308,38
26/04/2020,1362,39
27/04/2020,1435,48
28/04/2020,1583,56
29/04/2020,1645,62
30/04/2020,1790,67
01/05/2020,2001,76
02/05/2020,2106,78
03/05/2020,2253,80
04/05/2020,2377,91
05/05/2020,2606,95
06/05/2020,2754,98
07/05/2020,2884,101
08/05/2020,3136,118
09/05/2020,3349,127
10/05/2020,3677,128
11/05/2020,3891,138
12/05/2020,4120,145
13/05/2020,4362,148
14/05/2020,4632,167
15/05/2020,4843,179
16/05/2020,5171,181
17/05/2020,5322,185
18/05/2020,5500,192
19/05/2020,5703,202
20/05/2020,5931,225
21/05/2020,6534,258
22/05/2020,6841,259
23/05/2020,7073,284
24/05/2020,7812,310
25/05/2020,8208,324
26/05/2020,8750,324
27/05/2020,9187,368
28/05/2020,9885,376
29/05/2020,10426,386
30/05/2020,10909,412
31/05/2020,11632,412
01/06/2020,12085,427
02/06/2020,12780,481
03/06/2020,13278,511
04/06/2020,13745,549
05/06/2020,15173,555
06/06/2020,15630,555
07/06/2020,16088,600
08/06/2020,16651,600
09/06/2020,17176,640
10/06/2020,18151,674
11/06/2020,18706,707
12/06/2020,18744,720
13/06/2020,19687,728
14/06/2020,19860,742
15/06/2020,20467,752
16/06/2020,21162,775
17/06/2020,21893,800
18/06/2020,21928,827
19/06/2020,22155,854
20/06/2020,23047,884
21/06/2020,23347,904
22/06/2020,23615,919
23/06/2020,24199,953
24/06/2020,25279,991
25/06/2020,26230,1029
26/06/2020,27666,1046
27/06/2020,28848,1065
28/06/2020,31977,1093
29/06/2020,32198,1129
30/06/2020,33505,1163
01/07/2020,34613,1163
02/07/2020,35568,1209
03/07/2020,36434,1234
04/07/2020,37795,1256
05/07/2020,38273,1277
06/07/2020,38512,1311
07/07/2020,39708,1339
